event_name,event_type,start_date,end_date,venue,address,organizer,entry_fee,description,website,phone,category,frequency,state,country,created_date,predicted
Steel Challenge Match,Competition,2026-07-11,2026-07-11,Gem County Rod & Gun Club,"3600 E Main St, Emmett, ID 83617",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-07-11,2026-07-11,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Coeur,Gun Show,2026-07-12,2026-07-13,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-07-18,2026-07-18,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-07-19,2026-07-19,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-07-19,2026-07-19,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-08-01,2026-08-01,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-08-04,2026-08-04,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
Gem/Boise County Fair Shooting Events,Fair Competition,2026-08-07,2026-08-10,Gem County Fairgrounds,"453 S 18th St, Emmett, ID 83617",Gem County Fair Board,$20,County fair shooting competitions and demonstrations,gemcountyfairgrounds.com,208-365-4550,Fair Competition,Annual,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-08-08,2026-08-08,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-08-08,2026-08-08,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Idaho,Gun Show,2026-08-09,2026-08-10,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-08-15,2026-08-15,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-08-16,2026-08-16,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-08-16,2026-08-16,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Idaho State Fast Draw Championship,Championship,2026-08-28,2026-08-30,TBD Boise Area,"Boise, ID",Cowboy Fast Draw Association,$75,Idaho's premier fast draw state championship,cowboyfastdraw.com,TBD,Championship,Annual,ID,USA,2025-08-18,True
Vortex Optics Idaho State Steel Challenge Championship,Championship,2026-08-29,2026-08-31,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,$75,Idaho's premier steel challenge championship with national ranking points,scsa.org,208-465-2661,Championship,Annual,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-09-01,2026-09-01,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-09-05,2026-09-05,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Idaho IDPA State Championship,Championship,2026-09-05,2026-09-06,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$125,Idaho's premier IDPA state championship featuring 12 challenging stages,idpa.com,530-219-3118,Championship,Annual,ID,USA,2025-08-18,True
Eastern Idaho Clay Shooting Tournament,Competition,2026-09-11,2026-09-11,TBD Eastern Idaho,Eastern Idaho area,Idaho Associated General Contractors,$150,Annual clay shooting tournament with networking breakfast,idahoagc.org,TBD,Competition,Annual,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-09-12,2026-09-12,South East Idaho Practical Shooters,"TBD, Idaho Falls area",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2026-09-12,2026-09-13,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-09-12,2026-09-12,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2026-09-19,2026-09-20,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-09-19,2026-09-19,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-09-20,2026-09-20,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-09-20,2026-09-20,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Friends of NRA Idaho State Banquet,Fundraising,2026-10-17,2026-10-17,Revolution Event Center,"4983 N Glenwood Way, Garden City, ID 83714",Friends of NRA Idaho,$50-150,Annual fundraising banquet supporting shooting sports and firearms education,friendsofnra.org,208-344-2839,Fundraising,Annual,ID,USA,2025-08-18,True
Tactical Games Boise Skirmish,Competition,2026-10-24,2026-10-24,Double Tapp Range,"14010 E Double Tapp Lane, Boise, ID 83716",The Tactical Games,$100,Fitness and shooting competition combining physical challenges with marksmanship,thetacticalgames.com,TBD,Competition,Annual,ID,USA,2025-08-18,True
